Date,Environment,Frequency(MHz),Cell ID,Group ID,Sector ID,Frequency Error(Hz),RSRP(dBm),Ch Power(dBm),OBW(Hz)
1/09/1965 12:29 น.,335.1812.1.csv,1812.5,250,83,1,4431.809082,-67,-41,6142362
1/09/1965 12:31 น.,335.2120.1.csv,2120,242,80,2,5274.148926,-67,-47,6068770
1/09/1965 12:31 น.,335.2135.1.csv,2135,250,83,1,5586.224121,-63,-40,6198649
1/09/1965 12:32 น.,335.2165.1.csv,2165,253,84,1,5873.208984,-88,-61,6170989
1/09/1965 12:26 น.,335.773.1.csv,773,74,24,2,1743.424927,-92,-63,6179603
1/09/1965 12:28 น.,335.955.1.csv,955,363,121,0,2350.962402,-62,-30,6169659
1/09/1965 12:37 น.,336.1812.1.csv,1812.5,250,83,1,5216.344238,-62,-40,6204404
1/09/1965 12:41 น.,336.2120.1.csv,2120,243,81,0,4393.812012,-74,-62,6216257
1/09/1965 12:41 น.,336.2135.1.csv,2135,250,83,1,6279.73291,-64,-44,6234285
1/09/1965 12:43 น.,336.2165.1.csv,2165,253,84,1,6356.502441,-82,-58,6192454
1/09/1965 12:35 น.,336.773.1.csv,773,42,14,0,2185.564941,-95,-65,6153472
1/09/1965 12:36 น.,336.955.1.csv,955,363,121,0,2841.726318,-62,-44,6236281
1/09/1965 12:47 น.,337.1812.1.csv,1812.5,250,83,1,5543.385254,-68,-43,6222773
1/09/1965 12:49 น.,337.2120.1.csv,2120,243,81,0,6221.150391,-83,-64,6179144
1/09/1965 12:52 น.,337.2135.1.csv,2135,250,83,1,6825.706055,-74,-51,6162882
1/09/1965 12:54 น.,337.2165.1.csv,2165,253,84,1,6830.026855,-78,-58,6129501
1/09/1965 12:46 น.,337.773.1.csv,773,42,14,0,1504.40686,-95,-76,6204808
1/09/1965 12:47 น.,337.945.1.csv,945,266,88,2,1358.829224,-70,-52,6214703
1/09/1965 12:47 น.,337.955.1.csv,955,363,121,0,2325.92627,-62,-40,6187023
1/09/1965 13:00 น.,338.1812.1.csv,1812.5,250,83,1,6196.414551,-87,-66,6206182
1/09/1965 13:02 น.,338.1830.1.csv,1830,266,88,2,6427.164551,-77,-60,6202982
1/09/1965 13:03 น.,338.2120.1.csv,2120,363,121,0,7030.26416,-73,-58,6199999
1/09/1965 13:04 น.,338.2135.1.csv,2135,250,83,1,7344.166016,-81,-55,6015912
1/09/1965 13:04 น.,338.2145.1.csv,2145,266,88,2,6131.839355,-79,-60,6161939
1/09/1965 13:05 น.,338.2165.1.csv,2165,253,84,1,7590.117676,-88,-66,6129956
1/09/1965 12:56 น.,338.773.1.csv,773,74,24,2,2378.109131,-101,-76,6188298
1/09/1965 12:58 น.,338.945.1.csv,945,266,88,2,2356.360596,-66,-49,6212621
1/09/1965 12:59 น.,338.955.1.csv,955,363,121,0,3926.11499,-74,-53,6211070
1/09/1965 17:17 น.,464.1812.1.csv,1812.5,179,59,2,5690.004883,-90,-64,6168167
1/09/1965 17:20 น.,464.1830.1.csv,1830,252,84,0,6882.595215,-84,-64,6178082
1/09/1965 17:21 น.,464.1842.1.csv,1842.5,153,51,0,6834.388672,-92,-86,6177687
1/09/1965 17:22 น.,464.2120.1.csv,2120,240,80,0,6895.805664,-81,-64,6177559
1/09/1965 17:22 น.,464.2135.1.csv,2135,179,59,2,6580.449219,-90,-67,6083564
1/09/1965 17:23 น.,464.2145.1.csv,2145,252,84,0,6787.587402,-89,-63,6123359
1/09/1965 17:23 น.,464.2165.1.csv,2165,252,84,0,6534.681152,-96,-77,6144944
1/09/1965 17:15 น.,464.773.1.csv,773,350,116,2,3658.865479,-101,-78,6192489
1/09/1965 17:16 น.,464.945.1.csv,945,266,88,2,3326.114502,-87,-65,6209768
1/09/1965 17:17 น.,464.955.1.csv,955,281,93,2,2677.718994,-87,-58,6131995
1/09/1965 17:28 น.,465.1812.1.csv,1812.5,179,59,2,6239.003906,-89,-63,6173507
1/09/1965 17:29 น.,465.1830.1.csv,1830,29,9,2,5260.500488,-82,-63,6111708
1/09/1965 17:31 น.,465.1842.1.csv,1842.5,153,51,0,6660.143555,-89,-77,5808648
1/09/1965 17:32 น.,465.2120.1.csv,2120,21,7,0,7525.608398,-90,-71,6174635
1/09/1965 17:32 น.,465.2135.1.csv,2135,179,59,2,6943.308594,-92,-66,6203542
1/09/1965 17:33 น.,465.2145.1.csv,2145,29,9,2,6661.748047,-92,-75,6173813
1/09/1965 17:24 น.,465.773.1.csv,773,97,32,1,2341.834717,-99,-75,6179218
1/09/1965 17:26 น.,465.945.1.csv,945,39,13,0,3799.565918,-86,-70,6211126
1/09/1965 17:27 น.,465.955.1.csv,955,281,93,2,3026.106445,-89,-66,6137149
1/09/1965 17:39 น.,466.1812.1.csv,1812.5,179,59,2,5842.646973,-86,-68,6156343
1/09/1965 17:40 น.,466.1830.1.csv,1830,29,9,2,5256.59375,-90,-72,6197091
1/09/1965 17:42 น.,466.2120.1.csv,2120,20,6,2,6367.104004,-82,-66,6192457
1/09/1965 17:43 น.,466.2135.1.csv,2135,179,59,2,5164.976074,-93,-76,6209839
